Letterboxd URI,Title
https://boxd.it/7X8yRr,Grave of the Fireflies
https://boxd.it/7AwiPb,Vertigo
https://boxd.it/6oecHt,Challengers
https://boxd.it/6kcUrz,The Tree of Life
https://boxd.it/5MnPO5,The Zone of Interest
https://boxd.it/85g35f,The Sound of Music
https://boxd.it/80weTx,The Florida Project
https://boxd.it/7U3IEP,Anora
https://boxd.it/7LX7aT,Eyes Wide Shut
https://boxd.it/7Gl6oT,Scream
https://boxd.it/7BMzBh,Psycho
https://boxd.it/7ptzyV,Who's Afraid of Virginia Woolf?
https://boxd.it/7nKUwx,The Substance
https://boxd.it/7d1QdL,Secret Sunshine
https://boxd.it/76tki3,The Parent Trap
https://boxd.it/757FZJ,Come and See
https://boxd.it/6YCbId,All of Us Strangers
https://boxd.it/6NJ4lr,The Pianist
https://boxd.it/6H1eTV,Schindler's List
https://boxd.it/6FojXr,Black Dynamite
https://boxd.it/6B3Apt,Network
https://boxd.it/6xB9F7,Million Dollar Baby
https://boxd.it/6uD4Wz,The Deer Hunter
https://boxd.it/6nMssN,Paddington 2
https://boxd.it/6dd44R,The Thin Blue Line
https://boxd.it/62A4rD,Don't Look Now
https://boxd.it/5Zl9aP,Dune: Part Two
https://boxd.it/5zm1pP,The Iron Claw
https://boxd.it/5yOQYD,The Umbrellas of Cherbourg
https://boxd.it/5xOZi3,The Treasure of the Sierra Madre
https://boxd.it/5uYOc7,Mysterious Skin
https://boxd.it/84BFjd,Robot Dreams
https://boxd.it/7VqSkZ,Bottoms
https://boxd.it/7IsiOL,Inglourious Basterds
https://boxd.it/7EBRTj,Tokyo Story
https://boxd.it/7wTKCT,Death Proof
https://boxd.it/7okgix,Howl's Moving Castle
https://boxd.it/7lbgzt,The Lion King
https://boxd.it/7h1A95,Between the Temples
https://boxd.it/7fqSud,Thirst
https://boxd.it/6Xfs4p,The Breadwinner
https://boxd.it/6URwHf,Metropolis
https://boxd.it/6P4cLj,Searching
https://boxd.it/6GBdEt,Hit Man
https://boxd.it/6G7Cmp,Dark Waters
https://boxd.it/6DJs0x,The Kid with a Bike
https://boxd.it/6DlY5h,Son of Saul
https://boxd.it/6DagOZ,Citizenfour
https://boxd.it/6v9En5,The Godfather Part II
https://boxd.it/6uZSRD,I Saw the TV Glow
https://boxd.it/6sn10x,The Blair Witch Project
https://boxd.it/6nqG8j,Shoplifters
https://boxd.it/6mXOuz,Logan Lucky
https://boxd.it/6lYChr,Mandy
https://boxd.it/6lDSqx,Black Narcissus
https://boxd.it/6gAJM9,Moneyball
https://boxd.it/6gcn4r,Picnic at Hanging Rock
https://boxd.it/6dibAF,The Assistant
https://boxd.it/63S5o1,The Exorcist
https://boxd.it/61aagb,"Paris, Texas"
https://boxd.it/5Xbft1,The Man from Earth
https://boxd.it/5TDa3d,The Holdovers
https://boxd.it/5NcsDZ,The Eternal Memory
